Fornecedor,Mês,Valor
IMPRIMER,2025-05,4224.75
IMPRIMER,2025-06,3002.97
IMPRIMER,2025-07,2848.96
IMPRIMER,2025-08,2862.78
IMPRIMER,2025-09,3270.40
IMPRIMER,2025-10,2536.00
IMPRIMER,2025-11,4167.14
IMPRIMER,2025-12,3836.86
PONTOCOM,2025-01,149.90
PONTOCOM,2025-02,149.90
PONTOCOM,2025-03,149.90
PONTOCOM,2025-04,149.90
PONTOCOM,2025-05,149.90
PONTOCOM,2025-06,149.90
PONTOCOM,2025-07,149.90
PONTOCOM,2025-08,149.90
PONTOCOM,2025-09,149.90
PONTOCOM,2025-10,149.90
PONTOCOM,2025-11,149.90
PONTOCOM,2025-12,149.90
B&R SOLUCOES,2025-01,0
B&R SOLUCOES,2025-02,0
B&R SOLUCOES,2025-03,0
B&R SOLUCOES,2025-04,0
B&R SOLUCOES,2025-05,0
B&R SOLUCOES,2025-06,0
B&R SOLUCOES,2025-07,1059.00
B&R SOLUCOES,2025-08,1059.00
B&R SOLUCOES,2025-09,1059.00
B&R SOLUCOES,2025-10,1059.00
B&R SOLUCOES,2025-11,1059.00
B&R SOLUCOES,2025-12,1059.00
TRADEPRO TECNOLOGIA,2025-01,0
TRADEPRO TECNOLOGIA,2025-02,0
TRADEPRO TECNOLOGIA,2025-03,0
TRADEPRO TECNOLOGIA,2025-04,0
TRADEPRO TECNOLOGIA,2025-05,0
TRADEPRO TECNOLOGIA,2025-06,0
TRADEPRO TECNOLOGIA,2025-07,0
TRADEPRO TECNOLOGIA,2025-08,1840.00
TRADEPRO TECNOLOGIA,2025-09,0
TRADEPRO TECNOLOGIA,2025-10,0
TRADEPRO TECNOLOGIA,2025-11,0
TRADEPRO TECNOLOGIA,2025-12,0
ASV INTELIGÊNCIA DE DADOS,2025-01,0
ASV INTELIGÊNCIA DE DADOS,2025-02,0
ASV INTELIGÊNCIA DE DADOS,2025-03,0
ASV INTELIGÊNCIA DE DADOS,2025-04,0
ASV INTELIGÊNCIA DE DADOS,2025-05,0
ASV INTELIGÊNCIA DE DADOS,2025-06,0
ASV INTELIGÊNCIA DE DADOS,2025-07,0
ASV INTELIGÊNCIA DE DADOS,2025-08,0
ASV INTELIGÊNCIA DE DADOS,2025-09,0
ASV INTELIGÊNCIA DE DADOS,2025-10,1200.00
ASV INTELIGÊNCIA DE DADOS,2025-11,1200.00
ASV INTELIGÊNCIA DE DADOS,2025-12,1200.00
RD STATION CONVERSAS,2025-01,0
RD STATION CONVERSAS,2025-02,0
RD STATION CONVERSAS,2025-03,0
RD STATION CONVERSAS,2025-04,0
RD STATION CONVERSAS,2025-05,0
RD STATION CONVERSAS,2025-06,0
RD STATION CONVERSAS,2025-07,0
RD STATION CONVERSAS,2025-08,0
RD STATION CONVERSAS,2025-09,0
RD STATION CONVERSAS,2025-10,0
RD STATION CONVERSAS,2025-11,3874.00
RD STATION CONVERSAS,2025-12,2899.00
